RRN,Same as RRN,Male ID (parser),Scientific Name,Track Number,Start Time,BLANK,BLANK,Recordist ,BLANK,BLANK,BLANK,BLANK,Day,Month,Year,BLANK,BLANK,Country,State,County,BLANK,BLANK,City,Location,Latitude,Longitude,BLANK,#Song,# Males,#Females,Other species in the background,Notes,Parser's notes,Parser,Associated files
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JS-20120425-1001-M1,,M001,Carpodacus mexicanus,1001,,,,"Song, Jackie",,,,,25,April,2012,,,United States of America,California,Torrey Hills,,,San Diego,4802 Yearling Glen Rd,32.925398,-117.216905,,16,,,,flew to 11377 Pacific Shores Way,,"Roginek, Eric",SongJackie\JackieSong- California 2012\4-25-2012
JS-20120425-1004-M2,,M002,Carpodacus mexicanus,1004,,,,"Song, Jackie",,,,,25,April,2012,,,United States of America,California,Torrey Hills,,,San Diego,Ocean Air Community Park,32.715738,-117.161084,,3,,,,,,"Roginek, Eric",
JS-20120425-1004-M3,,M003,Carpodacus mexicanus,1004,,,,"Song, Jackie",,,,,25,April,2012,,,United States of America,California,Torrey Hills,,,San Diego,4833 Fairport Way,32.925697,-117.215839,,4,,,,near Nantucket Pkwy,,"Roginek, Eric",
JS-20120425-1004-M4,,M004,Carpodacus mexicanus,1004,,,,"Song, Jackie",,,,,25,April,2012,,,United States of America,California,Torrey Hills,,,San Diego,4832 Nantucket Pkwy,32.926218,-117.215882,,5,,,,"on Fairport Way, might be the same as M3",,"Roginek, Eric",
JS-20120426-1001-M1,,M005,Carpodacus mexicanus,1001,,,,"Song, Jackie",,,,,26,April,2012,,,United States of America,California,UCSD Campus,,,San Diego,Medical Education and Telemedicine Building,32.875334,-117.234828,,8,,,,,,"Roginek, Eric",SongJackie\JackieSong- California 2012\4-26-2012
JS-20120426-1002-M2,,M006,Carpodacus mexicanus,1002,,,,"Song, Jackie",,,,,26,April,2012,,,United States of America,California,UCSD Campus,,,San Diego,Medical Education and Telemedicine Building,32.875334,-117.234828,,5,,,,,,"Roginek, Eric",
JS-20120426-1005-M3,,M007,Carpodacus mexicanus,1005,,,,"Song, Jackie",,,,,26,April,2012,,,United States of America,California,UCSD Campus,,,San Diego,Galbrath Hall,32.873801,-117.240975,,4,,,,Dance and Theater Building,,"Roginek, Eric",
JS-20120426-1005-M4,,M008,Carpodacus mexicanus,1005,,,,"Song, Jackie",,,,,26,April,2012,,,United States of America,California,UCSD Campus,,,San Diego,Galbrath Hall,32.873801,-117.240975,,7,,,,Dance and Theater Building,,"Roginek, Eric",
JS-20120426-1006-M5,,M009,Carpodacus mexicanus,1006,,,,"Song, Jackie",,,,,26,April,2012,,,United States of America,California,UCSD Campus,,,San Diego,Argo Hall,32.874394,-117.241598,,23,,,,between Argo and Blake Hall,,"Roginek, Eric",
JS-20120426-1007-M6,,M010,Carpodacus mexicanus,1007,,,,"Song, Jackie",,,,,26,April,2012,,,United States of America,California,UCSD Campus,,,San Diego,Argo Hall,32.874394,-117.241598,,3,,,,could be the same as M5,,"Roginek, Eric",
