OBJECTID,GEOID,ACS17_Occupied_Housing_Units_Es,UPSAI_urban,UPSAI_suburban,UPSAI_rural,UPSAI_Cat_Controlled,SHAPE_Length,SHAPE_Area
1,15003001804,782,0.8951,0.1049,0,1,0.0145019433705908,1.27099260514986e-05
2,15003008502,610,0.09,0.6554,0.2546,2,0.24081690315042,0.00176277498322349
3,15003000302,875,0.1265,0.8716,0.0019,2,0.115598982893523,0.000170817010854532
4,15003001202,957,0.0234,0.9766,0,2,0.0308696420711332,4.5421765309047e-05
5,15003010702,1162,0.185,0.7608,0.0542,2,0.0776001314215424,0.000361141639686124
6,15003008928,1112,0.2041,0.7816,0.0143,2,0.0452743591426695,0.000111351709800587
7,15003008930,796,0.1511,0.8479,0.001,2,0.0443671090147464,9.05116510249916e-05
8,15003008929,1846,0.1866,0.7661,0.0473,2,0.0533847038770106,0.000118094764402501
9,15003008613,230,0.1591,0.7785,0.0624,2,0.0268646586792952,2.46667302660068e-05
10,15003940002,1513,0.0332,0.9092,0.0576,2,0.195958170565639,0.00154283514716594
11,15003008614,2815,0.019,0.8102,0.1708,2,0.454675243132501,0.00657271679924979
12,15003008611,30,0.0281,0.9155,0.0564,2,0.201856282886993,0.00112728148370351
13,15003008622,1027,0.0283,0.9561,0.0156,2,0.0746692388715701,0.000222002422281096
14,15003008412,2278,0.0942,0.1135,0.7923,3,0.0392054953812252,5.68579666434835e-05
15,15003008407,1125,0.3617,0.6383,0,2,0.0350612650579127,6.36544689524281e-05
16,15003007100,920,0.1984,0.703,0.0985,2,0.0490560050247291,0.000108215416723841
17,15003981300,0,0.621,0.3001,0.0789,1,0.0481737007394708,9.83604739419867e-05
18,15003011201,1567,0.0844,0.9156,0.0001,2,0.134907881008998,0.000230669619302195
19,15003980600,0,0.1989,0.3205,0.4806,3,0.246771897810571,0.00263439635125098
20,15003009703,1595,0.2219,0.7075,0.0706,2,0.195710188384208,0.000437658227535556
21,15003009608,1141,0.7665,0.1135,0.12,1,0.400075691524673,0.00399370310171156
22,15003009507,793,0.3603,0.6147,0.025,2,0.0970169384496478,0.00015300035576099
23,15003009801,972,0.1131,0.2619,0.625,3,0.417546641283193,0.0047536164517665
24,15003009904,1826,0.0789,0.4071,0.514,3,0.565078069209718,0.00792393744692707
25,15003010000,1172,0.09,0.4504,0.4596,3,0.633582208106933,0.0165691100572186
26,15003000106,3156,0.0571,0.9279,0.0149,2,0.135013242075766,0.000687704498860531
27,15003002005,1099,0.9437,0.0563,0,1,0.014193412791052,8.86558267524752e-06
28,15003002202,1633,0.8461,0.1362,0.0177,1,0.039866271038512,2.10846644680453e-05
29,15003001903,1537,0.9302,0.0698,0,1,0.0193264817756772,7.85613958288798e-06
30,15003002006,993,0.9981,0.0019,0,1,0.0161681080265664,1.28282807052024e-05
31,15003000112,1971,0.282,0.7103,0.0076,2,0.0779319345610394,0.000173570029154122
32,15003008931,803,0.047,0.874,0.079,2,0.407636979416571,0.00627190324138661
33,15003008926,691,0.2051,0.7564,0.0385,2,0.102540035253514,0.00019978652595294
34,15003980700,0,0.1661,0.3009,0.533,3,0.291765528239212,0.00182098902664986
35,15003008405,1165,0.2046,0.7724,0.023,2,0.0419889834454479,9.25420544444134e-05
36,15003008411,1100,0.0813,0.862,0.0567,2,0.0620092197836849,0.000114421172186969
37,15003008408,2369,0.0678,0.8543,0.0779,2,0.0896296332761211,0.00034920309820281
38,15003008410,1311,0.1097,0.8886,0.0017,2,0.057821526255411,0.000164336683224265
39,15003008406,1722,0.7526,0.1789,0.0685,1,0.0610570990419081,0.000196819766358952
40,15001021101,1650,0.0608,0.0633,0.8759,3,0.560594879970337,0.00927618193265471
41,15003980000,0,0.3864,0.4082,0.2053,1,0.170728368376723,0.000438545334877027
42,15003008609,593,0.1302,0.7642,0.1056,2,0.0723704687685327,0.000238406876685484
43,15003001300,1617,0.2898,0.7102,0,2,0.040597100870396,8.07569920985694e-05
44,15003008617,2749,0.642,0.1555,0.2025,1,0.10271546359149,0.000351161291637495
45,15003990001,,,,,,0.0119180714512261,4.4896735427351e-07
46,15003007303,0,0.2871,0.3041,0.4087,2,0.135701718342102,0.000687326620823146
47,15003007302,1602,0.1829,0.6951,0.122,2,0.0799609409418707,0.000244591113154003
48,15003000114,461,0.041,0.9552,0.0038,2,0.0842473868172744,0.000108235925300975
49,15003006600,136,0.0134,0.9715,0.0151,2,0.163409623773724,0.00043288778965931
50,15003009902,1036,0.1692,0.7008,0.1301,2,0.0926068850274205,0.000349553364794819
51,15003008703,1619,0.2555,0.718,0.0265,2,0.0959265921842781,0.000148693914981656
52,15003005900,591,0.6778,0.3155,0.0067,1,0.0773540751357518,0.000188021918851473
53,15003000700,1011,0.0187,0.9813,0,2,0.0417254562740995,8.42892411040313e-05
54,15003006202,361,0.6531,0.3215,0.0254,1,0.0149266002674079,7.53655153595034e-06
55,15003006100,851,0.5773,0.4165,0.0062,1,0.0273856156942954,4.16370202889365e-05
56,15003008924,2026,0.2236,0.666,0.1104,2,0.263993567015996,0.0020108357826448
57,15003003603,1710,0.8936,0.0961,0.0103,1,0.0149324203747434,1.40724495749592e-05
58,15003003502,2174,0.9969,0.0031,0,1,0.0258158059973963,3.65603475739791e-05
59,15003001201,1022,0.3054,0.6946,0,2,0.0384549394977483,4.64136986429117e-05
60,15003006301,850,0.3808,0.617,0.0022,1,0.0515641397014761,6.77397269259979e-05
61,15003000500,1347,0.0052,0.9948,0,2,0.099920584528923,0.000254845245873702
62,15003000800,1151,0.387,0.5997,0.0133,1,0.0425209115189197,9.76506219644155e-05
63,15003010306,2092,0.027,0.9397,0.0333,2,0.236173503205633,0.00115925602785788
64,15003005400,427,0.5332,0.4543,0.0126,1,0.0109898227127774,7.19299455350519e-06
65,15003004800,1656,0.353,0.6431,0.0039,2,0.120820686004362,0.000303904299147191
66,15003002004,735,0.9243,0.0757,0,1,0.0219399402828261,1.12548593285902e-05
67,15003010504,1313,0.1542,0.8416,0.0042,2,0.0503076096460406,0.00011044275880187
68,15003005000,1534,0.433,0.5629,0.0041,1,0.0280897001963819,4.77235851230023e-05
69,15003009200,2367,0.1007,0.2935,0.6058,3,0.110481879506023,0.000309985927317601
70,15001021013,1700,0.0512,0.4125,0.5363,3,0.588586804188487,0.0113621477427267
71,15001021010,3137,0.006,0.0061,0.9879,3,0.631382990896392,0.013028113384889
72,15001021202,2876,0.076,0.1352,0.7889,3,2.89222639382892,0.208039710133877
73,15003006401,426,0.5203,0.4764,0.0033,1,0.0203254743034934,1.76399233985396e-05
74,15003007400,798,0.159,0.6997,0.1412,2,0.308473185841652,0.000634018751141986
75,15003008002,768,0.3404,0.6355,0.0242,2,0.061951143142686,0.000109507217006577
76,15001021003,2327,0.0016,0.4028,0.5956,3,0.227215141382897,0.00291475139203515
77,15003007506,161,0.1889,0.6275,0.1835,2,0.0267044063382262,3.47523117509685e-05
78,15003008302,1260,0.3292,0.5714,0.0994,2,0.0586710632803255,0.000133494121403292
79,15003008922,2736,0.0262,0.9735,0.0003,2,0.118867627496279,0.000410699312159903
80,15003009503,304,0.3514,0.5723,0.0764,2,0.0746714732235766,0.000157620126281906
81,15003009502,1258,0.1841,0.6944,0.1214,2,0.065570723252551,0.00012700332439494
82,15003002100,1719,0.5306,0.4637,0.0057,1,0.04701940500877,9.89732255877529e-05
83,15003011106,1791,0.0505,0.9411,0.0084,2,0.126381445259452,0.000335935092950017
84,15003010701,1303,0.0402,0.9309,0.0289,2,0.110909177985636,0.000270756069544287
85,15003004400,1573,0.7418,0.237,0.0212,1,0.132635182951302,0.000325533887503111
86,15003003601,1788,0.8812,0.1169,0.0019,1,0.0229480053053408,3.29463197155213e-05
87,15003008005,1943,0.1459,0.7742,0.0799,2,0.257368181899686,0.00115328646516617
88,15003008913,781,0.0921,0.8837,0.0242,2,0.038096157304272,7.25762322395572e-05
